Rank,Direction,Card Name,Set,Current Price USD,Prior Price USD,Change USD,Change Percent,Market Signal
34,Up,"Ink-Eyes, Servant of Oni",Planechase 2012,12.25,11.17,1.08,9.7%,MTGStocks since-yesterday mover
35,Up,Shipwreck Marsh,Innistrad: Double Feature,12.07,11.03,1.04,9.4%,MTGStocks since-yesterday mover
36,Up,Mox Diamond,Stronghold,1449.95,1324.97,124.98,9.4%,MTGStocks since-yesterday mover
37,Up,Enchantress's Presence,Onslaught,19.03,17.40,1.63,9.4%,MTGStocks since-yesterday mover
38,Up,Arcades Sabboth,Legends,54.63,49.99,4.64,9.3%,MTGStocks since-yesterday mover
39,Up,Kindred Discovery (Extended Art),Commander Legends: Battle for Baldur's Gate,13.82,12.65,1.17,9.3%,MTGStocks since-yesterday mover
40,Up,Akroma's Memorial,Future Sight,37.65,34.48,3.17,9.2%,MTGStocks since-yesterday mover
41,Up,Armageddon,Secret Lair Series,28.38,26.00,2.38,9.2%,MTGStocks since-yesterday mover
42,Up,The Cube,Secret Lair Series,11.99,10.99,1.00,9.1%,MTGStocks since-yesterday mover
43,Up,Ephemerate (JP Alternate Art),Strixhaven: Mystical Archives,58.25,53.56,4.69,8.8%,MTGStocks since-yesterday mover
44,Up,"Zndrsplt, Eye of Wisdom",Secret Lair Series,25.00,23.00,2.00,8.7%,MTGStocks since-yesterday mover
45,Up,Relic of Sauron (Showcase Scrolls),Commander: The Lord of the Rings: Tales of Middle-earth,29.99,27.59,2.40,8.7%,MTGStocks since-yesterday mover
46,Up,Smothering Tithe (Borderless),Commander Masters,74.99,69.02,5.97,8.7%,MTGStocks since-yesterday mover
47,Up,"Brallin, Skyshark Rider",Commander 2020,14.64,13.49,1.15,8.5%,MTGStocks since-yesterday mover
48,Up,Hidden Gibbons,Urza's Legacy,13.78,12.70,1.08,8.5%,MTGStocks since-yesterday mover
49,Up,Ranger-Captain of Eos,Modern Horizons,28.00,25.81,2.19,8.5%,MTGStocks since-yesterday mover
50,Up,Cloud, Midgar Mercenary,Standard mover snapshot,22.00,21.26,0.74,3.0%,MTGGoldfish daily Standard winner
51,Up,"Krang, Utrom Warlord",Standard mover snapshot,20.63,20.00,0.63,3.0%,MTGGoldfish daily Standard winner
52,Up,Genji Glove,Standard mover snapshot,9.21,8.65,0.56,6.0%,MTGGoldfish daily Standard winner
53,Up,Monument to Endurance,Standard mover snapshot,19.33,18.88,0.45,2.0%,MTGGoldfish daily Standard winner
54,Up,Thornvault Forager,Standard mover snapshot,3.53,3.09,0.44,14.0%,MTGGoldfish daily Standard winner
55,Up,Buster Sword,Standard mover snapshot,47.36,46.99,0.37,1.0%,MTGGoldfish daily Standard winner
56,Up,"Uthros, Titanic Godcore",Standard mover snapshot,12.01,11.65,0.36,3.0%,MTGGoldfish daily Standard winner
57,Up,Hushwood Verge,Standard mover snapshot,7.80,7.44,0.36,5.0%,MTGGoldfish daily Standard winner
58,Up,"Sephiroth, Fabled SOLDIER",Standard mover snapshot,32.32,32.03,0.29,1.0%,MTGGoldfish daily Standard winner
59,Up,"Wan Shi Tong, Librarian",Standard mover snapshot,38.33,38.04,0.29,1.0%,MTGGoldfish daily Standard winner
60,Up,Buster Sword,Standard weekly snapshot,47.36,44.99,2.37,5.0%,MTGGoldfish weekly Standard winner
61,Up,Enduring Vitality,Standard weekly snapshot,15.15,13.56,1.59,12.0%,MTGGoldfish weekly Standard winner
62,Up,Cosmic Cube,Standard weekly snapshot,15.00,13.46,1.54,11.0%,MTGGoldfish weekly Standard winner
63,Up,"Evendo, Waking Haven",Standard weekly snapshot,16.15,14.78,1.37,9.0%,MTGGoldfish weekly Standard winner
64,Up,"Ojer Taq, Deepest Foundation",Standard weekly snapshot,32.98,31.65,1.33,4.0%,MTGGoldfish weekly Standard winner
65,Up,"Krang, Utrom Warlord",Standard weekly snapshot,20.63,19.48,1.15,6.0%,MTGGoldfish weekly Standard winner
66,Up,Genji Glove,Standard weekly snapshot,9.21,8.17,1.04,13.0%,MTGGoldfish weekly Standard winner
67,Up,"Chimil, the Inner Sun",Standard weekly snapshot,9.00,8.03,0.97,13.0%,MTGGoldfish weekly Standard winner
68,Up,Ouroboroid,Standard weekly snapshot,34.61,33.24,1.37,3.0%,MTGGoldfish weekly Standard winner
69,Up,Sire of Seven Deaths,Standard weekly snapshot,19.56,18.66,0.90,5.0%,MTGGoldfish weekly Standard winner
70,Up,Gleaming Splendor (Borderless),The Hobbit,214.00,119.00,95.00,43.0%,EchoMTG market mover
71,Up,The Arkenstone (Borderless),The Hobbit,81.00,91.00,-10.00,37.0%,EchoMTG displayed mover metric
72,Up,Smaug the Magnificent (Showcase),The Hobbit,92.00,67.00,25.00,7.0%,EchoMTG market mover
73,Up,Gleaming Splendor,The Hobbit,61.00,60.00,1.00,27.0%,EchoMTG market mover
74,Up,Gandalf Goblins' Bane (Borderless),The Hobbit,49.00,50.00,-1.00,42.0%,EchoMTG displayed mover metric
75,Up,"Thorin, Mountain-king",The Hobbit,34.00,45.00,-11.00,30.0%,EchoMTG displayed mover metric
76,Up,The Queen of Dale (Showcase),The Hobbit,54.00,38.00,16.00,24.0%,EchoMTG market mover
77,Up,Smaug the Magnificent,The Hobbit,37.00,34.00,3.00,8.0%,EchoMTG market mover
78,Up,"Bard, King of Dale (Borderless)",The Hobbit,37.00,30.00,7.00,19.0%,EchoMTG market mover
79,Up,The Arkenstone (Showcase),The Hobbit,49.00,30.00,19.00,8.0%,EchoMTG market mover
80,Up,The Queen of Dale,The Hobbit,27.00,28.00,-1.00,17.0%,EchoMTG displayed mover metric
81,Up,"Orcrist, Goblin-cleaver (Showcase)",The Hobbit,35.00,28.00,7.00,1.0%,EchoMTG market mover
82,Up,"Ultron, Artificial Malevolence (Borderless)",Marvel Super Heroes,83.00,85.00,-2.00,1.0%,EchoMTG displayed mover metric
83,Down,The Mind Stone,Marvel Super Heroes,97.00,58.00,39.00,-6.0%,EchoMTG market mover
84,Up,"Mjolnir, Hammer of Thor (Borderless 0339)",Marvel Super Heroes,62.00,43.00,19.00,2.0%,EchoMTG market mover
85,Down,"Elektra, Daughter of the Hand (Borderless)",Marvel Super Heroes,29.00,35.00,-6.00,-1.0%,EchoMTG market mover
86,Up,"Thor, God of Thunder (Borderless)",Marvel Super Heroes,48.00,33.00,15.00,2.0%,EchoMTG market mover
87,Flat,Jennifer Walters (Borderless),Marvel Super Heroes,44.00,32.00,12.00,0.0%,EchoMTG price snapshot
88,Up,"Mjolnir, Hammer of Thor (Borderless 0303)",Marvel Super Heroes,36.00,32.00,4.00,6.0%,EchoMTG market mover
89,Up,Doctor Doom (Borderless),Marvel Super Heroes,44.00,30.00,14.00,5.0%,EchoMTG market mover
90,Up,Tony Stark (Borderless),Marvel Super Heroes,39.00,26.00,13.00,2.0%,EchoMTG market mover
91,Down,Cosmic Cube (Borderless 0337),Marvel Super Heroes,30.00,25.00,5.00,-1.0%,EchoMTG market mover
92,Down,Cosmic Cube (Borderless 0312),Marvel Super Heroes,29.00,25.00,4.00,-3.0%,EchoMTG market mover
93,Flat,"King T'Challa (Borderless)",Marvel Super Heroes,31.00,24.00,7.00,0.0%,EchoMTG price snapshot
94,Flat,"Doctor Doom, Unrivaled",Commander: Marvel Super Heroes,80.00,44.00,36.00,0.0%,EchoMTG price snapshot
95,Down,"Loki, Lord of Misrule",Commander: Marvel Super Heroes,78.00,44.00,34.00,-6.0%,EchoMTG market mover
96,Down,The Vision and Scarlet Witch,Commander: Marvel Super Heroes,69.00,42.00,27.00,-2.0%,EchoMTG market mover
97,Down,Devil Dinosaur,Commander: Marvel Super Heroes,40.00,32.00,8.00,-7.0%,EchoMTG market mover
98,Down,Ultron the Annihilator,Commander: Marvel Super Heroes,60.00,29.00,31.00,-7.0%,EchoMTG market mover
99,Down,Molecule Man (Extended Art),Commander: Marvel Super Heroes,22.00,,,-22.0%,EchoMTG market mover
100,Down,"Nico Minoru, Runaway",Commander: Marvel Super Heroes,37.00,22.00,15.00,-5.0%,EchoMTG market mover
101,Down,"Black Widow, Agile Avenger (Extended Art)",Commander: Marvel Super Heroes,7.00,20.00,-13.00,-5.0%,EchoMTG market mover
102,Flat,"Ant-Man, Scott Lang (0513)",Commander: Marvel Super Heroes,20.00,,,0.0%,EchoMTG price snapshot
103,Flat,Captain's Defense (0515),Commander: Marvel Super Heroes,20.00,,,0.0%,EchoMTG price snapshot
104,Flat,"Spider-Man, Hometown Hero (0556)",Commander: Marvel Super Heroes,20.00,,,0.0%,EchoMTG price snapshot
105,Flat,"The Falcon, Sam Wilson (0516)",Commander: Marvel Super Heroes,20.00,,,0.0%,EchoMTG price snapshot
106,Flat,Force of Will (JP Alternate Art),Secrets of Strixhaven: Mystical Archive,200.00,,,0.0%,EchoMTG price snapshot
107,Up,Vampiric Tutor (JP Alternate Art),Secrets of Strixhaven: Mystical Archive,122.00,,,1.0%,EchoMTG market mover
108,Flat,Cyclonic Rift (JP Alternate Art),Secrets of Strixhaven: Mystical Archive,90.00,,,0.0%,EchoMTG price snapshot
109,Up,Jeska's Will (JP Alternate Art),Secrets of Strixhaven: Mystical Archive,90.00,,,1.0%,EchoMTG market mover
110,Up,Force of Will,Secrets of Strixhaven: Mystical Archive,82.00,68.00,14.00,5.0%,EchoMTG market mover
111,Up,Vampiric Tutor,Secrets of Strixhaven: Mystical Archive,63.00,57.00,6.00,3.0%,EchoMTG market mover
112,Up,Jeska's Will,Secrets of Strixhaven: Mystical Archive,59.00,48.00,11.00,5.0%,EchoMTG market mover
113,Flat,Ad Nauseam (JP Alternate Art),Secrets of Strixhaven: Mystical Archive,36.00,,,0.0%,EchoMTG price snapshot
114,Up,Cyclonic Rift,Secrets of Strixhaven: Mystical Archive,39.00,35.00,4.00,3.0%,EchoMTG market mover
115,Down,Flusterstorm (JP Alternate Art),Secrets of Strixhaven: Mystical Archive,25.00,,,-2.0%,EchoMTG market mover
116,Flat,Awaken the Woods (JP Alternate Art),Secrets of Strixhaven: Mystical Archive,22.00,,,0.0%,EchoMTG price snapshot
117,Up,Akroma's Will,Secrets of Strixhaven: Mystical Archive,25.00,19.00,6.00,15.0%,EchoMTG market mover
118,Up,Exemplar of Light,Promo Pack: Secrets of Strixhaven,22.00,30.00,-8.00,6.0%,EchoMTG displayed mover metric
119,Flat,Urza's Incubator,Promo Pack: Secrets of Strixhaven,22.00,24.00,-2.00,0.0%,EchoMTG price snapshot
120,Down,Emeritus of Woe,Promo Pack: Secrets of Strixhaven,26.00,17.00,9.00,-7.0%,EchoMTG market mover
121,Flat,Molten Duplication,Promo Pack: Secrets of Strixhaven,14.00,14.00,0.00,0.0%,EchoMTG price snapshot
122,Down,Improvisation Capstone,Promo Pack: Secrets of Strixhaven,15.00,13.00,2.00,-1.0%,EchoMTG market mover
123,Flat,Emeritus of Truce,Promo Pack: Secrets of Strixhaven,10.00,11.00,-1.00,0.0%,EchoMTG price snapshot
124,Flat,Germination Practicum,Promo Pack: Secrets of Strixhaven,10.00,11.00,-1.00,0.0%,EchoMTG price snapshot
125,Flat,Emeritus of Ideation,Promo Pack: Secrets of Strixhaven,30.00,11.00,19.00,0.0%,EchoMTG price snapshot
126,Down,Decorum Dissertation,Promo Pack: Secrets of Strixhaven,15.00,11.00,4.00,-4.0%,EchoMTG market mover
127,Flat,High Fae Trickster,Promo Pack: Secrets of Strixhaven,7.00,9.00,-2.00,0.0%,EchoMTG price snapshot
128,Up,"Professor Dellian Fel // Pest token",Secrets of Strixhaven Tokens,5.00,2.00,3.00,40.0%,EchoMTG market mover
129,Up,Land Tax,Commander: Secrets of Strixhaven,19.00,,,9.0%,EchoMTG market mover
130,Down,Faerie Mastermind,Commander: Secrets of Strixhaven,13.00,,,-2.0%,EchoMTG market mover
131,Up,Goldspan Dragon,Commander: Secrets of Strixhaven,11.00,,,31.0%,EchoMTG market mover
132,Up,Moonshaker Cavalry,Commander: Secrets of Strixhaven,9.00,,,15.0%,EchoMTG market mover
133,Up,Turbulent Fen,Commander: Secrets of Strixhaven,9.00,,,18.0%,EchoMTG market mover
134,Up,Turbulent Fen (Extended Art),Commander: Secrets of Strixhaven,9.00,,,4.0%,EchoMTG market mover
135,Up,Animate Dead,Commander: Secrets of Strixhaven,8.00,,,13.0%,EchoMTG market mover
136,Down,Ohran Frostfang,Commander: Secrets of Strixhaven,7.00,,,-1.0%,EchoMTG market mover
137,Up,Turbulent Moor (Extended Art),Commander: Secrets of Strixhaven,7.00,,,6.0%,EchoMTG market mover
138,Up,Turbulent Moor,Commander: Secrets of Strixhaven,7.00,,,16.0%,EchoMTG market mover
139,Down,Turbulent Wilderness (Extended Art),Commander: Secrets of Strixhaven,7.00,,,-4.0%,EchoMTG market mover
140,Up,"Ozolith, the Shattered Spire",Commander: Secrets of Strixhaven,7.00,,,24.0%,EchoMTG market mover
141,Down,Doubling Season (Borderless),Teenage Mutant Ninja Turtles Eternal-Legal,32.00,30.00,2.00,-2.0%,EchoMTG market mover
142,Up,Donnie's Bo - Shadowspear (Borderless),Teenage Mutant Ninja Turtles Eternal-Legal,23.00,22.00,1.00,5.0%,EchoMTG market mover
143,Down,Trouble in Pairs (Borderless),Teenage Mutant Ninja Turtles Eternal-Legal,18.00,16.00,2.00,-4.0%,EchoMTG market mover
144,Flat,All Will Be One (Borderless),Teenage Mutant Ninja Turtles Eternal-Legal,14.00,12.00,2.00,0.0%,EchoMTG price snapshot
145,Up,Undercity Sewers (Borderless),Teenage Mutant Ninja Turtles Eternal-Legal,12.00,10.00,2.00,1.0%,EchoMTG market mover
146,Down,Underworld Breach (Borderless),Teenage Mutant Ninja Turtles Eternal-Legal,9.00,8.00,1.00,-1.0%,EchoMTG market mover
147,Flat,Teleportation Circle (Borderless),Teenage Mutant Ninja Turtles Eternal-Legal,6.00,5.00,1.00,0.0%,EchoMTG price snapshot
148,Down,Rhythm of the Wild (Borderless),Teenage Mutant Ninja Turtles Eternal-Legal,8.00,5.00,3.00,-12.0%,EchoMTG market mover
149,Down,Splinter of the Shadows - Ashcoat of the Shadow Swarm (Borderless),Teenage Mutant Ninja Turtles Eternal-Legal,5.00,4.00,1.00,-6.0%,EchoMTG market mover
150,Down,Raph's Jitte - Umezawa's Jitte (Borderless),Teenage Mutant Ninja Turtles Eternal-Legal,5.00,4.00,1.00,-5.0%,EchoMTG market mover
151,Up,Leo's Katana - Sword of Sinew and Steel (Borderless),Teenage Mutant Ninja Turtles Eternal-Legal,4.00,3.00,1.00,2.0%,EchoMTG market mover
152,Up,Arcbound Ravager (Borderless),Teenage Mutant Ninja Turtles Eternal-Legal,4.00,3.00,1.00,7.0%,EchoMTG market mover
153,Down,Super Shredder (Borderless),Teenage Mutant Ninja Turtles,35.00,31.00,4.00,-3.0%,EchoMTG market mover
154,Flat,"Krang, Utrom Warlord (Borderless)",Teenage Mutant Ninja Turtles,26.00,26.00,0.00,0.0%,EchoMTG price snapshot
155,Up,"Krang, Utrom Warlord",Teenage Mutant Ninja Turtles,21.00,23.00,-2.00,8.0%,EchoMTG displayed mover metric
156,Down,Super Shredder,Teenage Mutant Ninja Turtles,20.00,20.00,0.00,-7.0%,EchoMTG market mover
157,Up,Dark Leo & Shredder (Borderless),Teenage Mutant Ninja Turtles,15.00,14.00,1.00,3.0%,EchoMTG market mover
158,Down,Cool but Rude,Teenage Mutant Ninja Turtles,9.00,9.00,0.00,-11.0%,EchoMTG market mover
159,Down,Michelangelo Improviser (Borderless),Teenage Mutant Ninja Turtles,11.00,9.00,2.00,-7.0%,EchoMTG market mover
160,Up,The Ooze (Extended Art),Teenage Mutant Ninja Turtles,7.00,7.00,0.00,3.0%,EchoMTG market mover
161,Up,"Mikey & Leo, Chaos & Order (Borderless)",Teenage Mutant Ninja Turtles,7.00,7.00,0.00,5.0%,EchoMTG market mover
162,Up,Leonardo Sewer Samurai (Borderless),Teenage Mutant Ninja Turtles,7.00,6.00,1.00,10.0%,EchoMTG market mover
163,Down,Donatello Mutant Mechanic (Borderless),Teenage Mutant Ninja Turtles,8.00,6.00,2.00,-2.0%,EchoMTG market mover
164,Down,Raphael Ninja Destroyer (Borderless),Teenage Mutant Ninja Turtles,8.00,6.00,2.00,-3.0%,EchoMTG market mover
165,Down,City of Brass,Commander: Teenage Mutant Ninja Turtles,18.00,13.00,5.00,-1.0%,EchoMTG market mover
166,Up,Spire Garden,Commander: Teenage Mutant Ninja Turtles,2.00,7.00,-5.00,3.0%,EchoMTG displayed mover metric
167,Up,Undergrowth Stadium,Commander: Teenage Mutant Ninja Turtles,6.00,,,4.0%,EchoMTG market mover
168,Down,Raphael Tag Team Tough,Commander: Teenage Mutant Ninja Turtles,6.00,,,-10.0%,EchoMTG market mover
169,Down,Utrom Monitor,Commander: Teenage Mutant Ninja Turtles,6.00,,,-1.0%,EchoMTG market mover
170,Down,April O'Neil Human Element,Commander: Teenage Mutant Ninja Turtles,5.00,,,-4.0%,EchoMTG market mover
171,Flat,Mona Lisa Ever Adaptable,Commander: Teenage Mutant Ninja Turtles,5.00,,,0.0%,EchoMTG price snapshot
172,Up,Irma Part-Time Mutant,Commander: Teenage Mutant Ninja Turtles,13.00,5.00,8.00,2.0%,EchoMTG market mover
173,Down,Ninja Pizza,Commander: Teenage Mutant Ninja Turtles,13.00,4.00,9.00,-1.0%,EchoMTG market mover
174,Down,Michelangelo the Heart (Borderless),Commander: Teenage Mutant Ninja Turtles,1.00,3.00,-2.00,-7.0%,EchoMTG market mover
175,Up,Hidden Hideout,Commander: Teenage Mutant Ninja Turtles,2.00,3.00,-1.00,17.0%,EchoMTG displayed mover metric
176,Down,Endless Foot Assault,Commander: Teenage Mutant Ninja Turtles,20.00,3.00,17.00,-7.0%,EchoMTG market mover
177,Up,Swamp Art Card Gold-Stamped,Art Series: Teenage Mutant Ninja Turtles,482.00,,,32.0%,EchoMTG market mover
178,Up,The Last Ronin's Technique Art Card Gold-Stamped Signature,Art Series: Teenage Mutant Ninja Turtles,50.00,,,12.0%,EchoMTG market mover
179,Flat,Heroes in a Half Shell Art Card Gold-Stamped Signature,Art Series: Teenage Mutant Ninja Turtles,35.00,,,0.0%,EchoMTG price snapshot
180,Up,Shredder's Technique Art Card Gold-Stamped Signature,Art Series: Teenage Mutant Ninja Turtles,28.00,,,2.0%,EchoMTG market mover
181,Up,Plains Art Card Gold-Stamped,Art Series: Teenage Mutant Ninja Turtles,27.00,,,2.0%,EchoMTG market mover
182,Up,Leonardo Sewer Samurai Art Card Gold-Stamped Signature,Art Series: Teenage Mutant Ninja Turtles,24.00,,,7.0%,EchoMTG market mover
183,Flat,Michelangelo Game Master Art Card Gold-Stamped Signature,Art Series: Teenage Mutant Ninja Turtles,24.00,,,0.0%,EchoMTG price snapshot
184,Down,Michelangelo the Heart Art Card Gold-Stamped Signature,Art Series: Teenage Mutant Ninja Turtles,21.00,,,-2.0%,EchoMTG market mover
185,Flat,Michelangelo On the Scene Art Card Gold-Stamped Signature,Art Series: Teenage Mutant Ninja Turtles,20.00,,,0.0%,EchoMTG price snapshot
186,Up,Pain 101 Art Card Gold-Stamped Signature,Art Series: Teenage Mutant Ninja Turtles,20.00,,,4.0%,EchoMTG market mover
187,Up,Fanatic of Rhonas,Promo Pack: Lorwyn Eclipsed,12.00,102.00,-90.00,3.0%,EchoMTG displayed mover metric
188,Up,Vaultborn Tyrant,Promo Pack: Lorwyn Eclipsed,34.00,60.00,-26.00,2.0%,EchoMTG displayed mover metric
189,Flat,Doubling Season,Promo Pack: Lorwyn Eclipsed,33.00,50.00,-17.00,0.0%,EchoMTG price snapshot
190,Up,"Grub, Storied Matriarch",Promo Pack: Lorwyn Eclipsed,8.00,43.00,-35.00,23.0%,EchoMTG displayed mover metric
191,Flat,Ocelot Pride,Promo Pack: Lorwyn Eclipsed,43.00,42.00,1.00,0.0%,EchoMTG price snapshot
192,Down,Hexing Squelcher,Promo Pack: Lorwyn Eclipsed,25.00,24.00,1.00,-1.0%,EchoMTG market mover
193,Up,Sword of Wealth and Power,Promo Pack: Lorwyn Eclipsed,19.00,23.00,-4.00,1.0%,EchoMTG displayed mover metric
194,Down,Chronicle of Victory,Promo Pack: Lorwyn Eclipsed,24.00,22.00,2.00,-2.0%,EchoMTG market mover
195,Flat,Sire of Seven Deaths,Promo Pack: Lorwyn Eclipsed,23.00,22.00,1.00,0.0%,EchoMTG price snapshot
196,Flat,Grand Abolisher,Promo Pack: Lorwyn Eclipsed,18.00,19.00,-1.00,0.0%,EchoMTG price snapshot
197,Flat,Bitterbloom Bearer,Promo Pack: Lorwyn Eclipsed,22.00,18.00,4.00,0.0%,EchoMTG price snapshot
198,Flat,Warren Soultrader,Promo Pack: Lorwyn Eclipsed,15.00,18.00,-3.00,0.0%,EchoMTG price snapshot
199,Up,Hexing Squelcher (Showcase),Lorwyn Eclipsed,62.00,30.00,32.00,4.0%,EchoMTG market mover
200,Down,Chronicle of Victory (Showcase),Lorwyn Eclipsed,34.00,25.00,9.00,-6.0%,EchoMTG market mover
201,Up,Chronicle of Victory,Lorwyn Eclipsed,24.00,23.00,1.00,18.0%,EchoMTG market mover
202,Up,Hexing Squelcher,Lorwyn Eclipsed,24.00,23.00,1.00,4.0%,EchoMTG market mover
203,Up,Bitterbloom Bearer (Showcase),Lorwyn Eclipsed,36.00,22.00,14.00,3.0%,EchoMTG market mover
204,Flat,Steam Vents (Borderless),Lorwyn Eclipsed,24.00,17.00,7.00,0.0%,EchoMTG price snapshot
205,Down,Bitterbloom Bearer,Lorwyn Eclipsed,17.00,17.00,0.00,-1.0%,EchoMTG market mover
206,Down,Bloom Tender (Showcase),Lorwyn Eclipsed,17.00,15.00,2.00,-3.0%,EchoMTG market mover
207,Flat,Blood Crypt (Borderless),Lorwyn Eclipsed,20.00,14.00,6.00,0.0%,EchoMTG price snapshot
208,Flat,Bloom Tender,Lorwyn Eclipsed,14.00,14.00,0.00,0.0%,EchoMTG price snapshot
209,Up,Moonshadow (Showcase),Lorwyn Eclipsed,15.00,13.00,2.00,14.0%,EchoMTG market mover
210,Up,Moonshadow,Lorwyn Eclipsed,12.00,13.00,-1.00,9.0%,EchoMTG displayed mover metric
211,Up,Springleaf Parade (Extended Art),Commander: Lorwyn Eclipsed,11.00,,,3.0%,EchoMTG market mover
212,Down,"Chimil, the Inner Sun",Commander: Lorwyn Eclipsed,11.00,,,-1.0%,EchoMTG market mover
213,Down,Springleaf Parade,Commander: Lorwyn Eclipsed,10.00,,,-3.0%,EchoMTG market mover
214,Up,"Selvala, Heart of the Wilds",Commander: Lorwyn Eclipsed,6.00,,,14.0%,EchoMTG market mover
215,Up,Abundant Countryside (Extended Art),Commander: Lorwyn Eclipsed,4.00,,,20.0%,EchoMTG market mover
216,Down,Endurance,Commander: Lorwyn Eclipsed,4.00,,,-3.0%,EchoMTG market mover
217,Up,Abundant Countryside,Commander: Lorwyn Eclipsed,4.00,,,18.0%,EchoMTG market mover
218,Down,Tree of Perdition,Commander: Lorwyn Eclipsed,4.00,,,-2.0%,EchoMTG market mover
219,Up,Timeless Lotus,Commander: Lorwyn Eclipsed,3.00,,,7.0%,EchoMTG market mover
220,Down,Return of the Wildspeaker,Commander: Lorwyn Eclipsed,3.00,,,-12.0%,EchoMTG market mover
221,Up,Realmwalker,Commander: Lorwyn Eclipsed,3.00,,,112.0%,EchoMTG market mover
222,Up,Sol Ring (0058),Commander: Lorwyn Eclipsed,3.00,,,3.0%,EchoMTG market mover
223,Down,Badgermole Cub (Borderless),Avatar: The Last Airbender,87.00,68.00,19.00,-1.0%,EchoMTG market mover
224,Down,Wan Shi Tong Librarian (Borderless),Avatar: The Last Airbender,92.00,61.00,31.00,-5.0%,EchoMTG market mover
225,Up,Badgermole Cub,Avatar: The Last Airbender,49.00,53.00,-4.00,7.0%,EchoMTG displayed mover metric
226,Up,Wan Shi Tong Librarian,Avatar: The Last Airbender,39.00,39.00,0.00,1.0%,EchoMTG market mover
